#EntrezGeneIDA	GeneSymbolA	EntrezGeneIDB	GeneSymbolB	Y2H
27232	GNMT	79666	PLEKHF2	+
3507	IGHM	55722	Cep72	+
51534	C6orf55	54550	EFCBP2	+
5528	PPP2R5D	8500	PPFIA1	+
3661	IRF3	5052	PRDX1	+
3609	ILF3	7205	TRIP6	+
1856	DVL2	84904	C9orf100	+
7186	TRAF2	27125	AF5Q31	+
7316	UBC	9802	DAZAP2	+
11030	RBPMS	55684	C9orf86	+
10656	KHDRBS3	80125	FLJ32855	+
79036	MGC2749	84289	ING5	+
54997	TSC	55297	FLJ11088	+
79036	MGC2749	80125	FLJ32855	+
23641	LDOC1	55211	DPPA4	+
3091	HIF1A	6759	SSX4	+
2670	GFAP	9260	PDLIM7	+
51545	ZNF581	84445	LZTS2	+
57596	KIAA1446	58500	ZNF250	+
9402	GRAP2	11030	RBPMS	+
4110	MAGEA11	51619	UBE2D4	+
407	ARR3	1856	DVL2	+
10567	RABAC1	56997	CABC1	+
55885	LMO3	79800	ALS2CR8	+
56341	HRMT1L4	56341	HRMT1L4	+
1676	DFFA	2130	EWSR1	+
5252	PHF1	11030	RBPMS	+
9319	TRIP13	79092	CARD14	+
7431	VIM	11170	TU3A	+
11030	RBPMS	11030	RBPMS	+
22934	RPIA	51534	C6orf55	+
4188	MDFI	168417	ZNF679	+
10174	SCAM-1	27316	RBMX	+
7704	ZBTB16	23641	LDOC1	+
1198	CLK3	57035	NPD014	+
3183	HNRPC	55285	FLJ11016	+
9726	ZNF646	22981	KIAA0980	+
5359	PLSCR1	79050	MGC3162	+
4110	MAGEA11	124460	SLIC1	+
7186	TRAF2	9726	ZNF646	+
11007	DIPA	79088	ZNF426	+
2553	GABPB2	8615	VDP	+
55662	HIF1AN	140462	ASB9	+
3190	HNRPK	9782	MATR3	+
4188	MDFI	7355	SLC35A2	+
6696	SPP1	9260	PDLIM7	+
2771	GNAI2	5359	PLSCR1	+
57085	AGTRAP	57085	AGTRAP	+
5465	PPARA	246329	STAC3	+
3880	KRT19	5108	PCM1	+
1407	CRY1	4188	MDFI	+
5682	PSMA1	81628	TSC22D4	+
3983	ABLIM1	7186	TRAF2	+
11007	DIPA	80256	KIAA1539	+
57142	RTN4	79666	PLEKHF2	+
2130	EWSR1	22884	WDR37	+
2577	GAGE5	64396	GMCL1L	+
373	TRIM23	7536	SF1	+
27316	RBMX	202559	KHDRBS2	+
3987	LIMS1	5932	RBBP8	+
11051	CPSF5	60491	NIF3L1	+
4188	MDFI	7597	ZNF46	+
7718	ZNF165	81576	MGC10471	+
3866	KRT15	284058	LOC284058	+
8812	CCNK	30008	EFEMP2	+
9577	BRE	29086	HSPC142	+
10656	KHDRBS3	84708	LNX	+
23281	KIAA0774	55734	ZFP64	+
7329	UBE2I	8767	RIPK2	+
8812	CCNK	283518	KCNRG	+
7138	TNNT1	79156	PLEKHF1	+
83755	KRTAP4-12	414157	C10orf62	+
83755	KRTAP4-12	92595	MGC13138	+
5300	PIN1	83637	DKFZp761I2123	+
4188	MDFI	55049	FLJ20850	+
9094	UNC119	404550	MGC17624	+
6455	SH3GL1	6455	SH3GL1	+
5995	RGR	26128	KIAA1279	+
7579	ZNF31	51282	SCAND1	+
4188	MDFI	154865	FLJ35834	+
23647	ARFIP2	84062	DTNBP1	+
1019	CDK4	1032	CDKN2D	+
148223	C19orf25	220766	MGC26143	+
10430	NIFIE14	51225	ABI3	+
7965	JTV1	220766	MGC26143	+
7917	BAT3	30008	EFEMP2	+
10567	RABAC1	51324	SPG21	+
9129	PRPF3	84705	GTPBP3	+
56658	TRIM39	80019	UBTD1	+
5359	PLSCR1	80726	KIAA1683	+
998	CDC42	11135	CDC42EP1	+
23099	ZNF297B	51224	TCEB3B	+
57596	KIAA1446	117144	CATSPER1	+
8405	SPOP	151871	DPPA2	+
1731	1-Sep	23157	6-Sep	+
83755	KRTAP4-12	84733	CBX2	+
10445	MCRS1	138046	LOC138046	+
79172	MGC11266	220766	MGC26143	+
9729	KIAA0408	51225	ABI3	+
11007	DIPA	54906	C10orf18	+
79576	NKAP	220108	FLJ30707	+
10169	SERF2	84528	PEPP-2	+
54474	KRT20	80347	COASY	+
11007	DIPA	80125	FLJ32855	+
10044	SH2D3C	10278	EFS	+
3104	HKR3	135927	C7orf34	+
3183	HNRPC	11007	DIPA	+
7186	TRAF2	91544	SOC	+
7536	SF1	10521	DDX17	+
222389	C10orf30	284352	LOC284352	+
56159	TEX11	81628	TSC22D4	+
9319	TRIP13	79027	ZNF655	+
4188	MDFI	196477	C12orf12	+
8468	FKBP6	8812	CCNK	+
2130	EWSR1	6210	RPS15A	+
54550	EFCBP2	85359	DGCR6L	+
4110	MAGEA11	5264	PHYH	+
1725	DHPS	79873	FLJ22494	+
11170	TU3A	83878	USHBP1	+
1937	EEF1G	196549	LOC196549	+
3866	KRT15	27229	76P	+
10919	BAT8	26148	C10orf12	+
10521	DDX17	51729	WBP11	+
4188	MDFI	84080	C16orf48	+
8676	STX11	8812	CCNK	+
283518	KCNRG	283518	KCNRG	+
83878	USHBP1	85302	FBF1	+
11007	DIPA	84708	LNX	+
1407	CRY1	83755	KRTAP4-12	+
11007	DIPA	54883	FLJ20291	+
875	CBS	9513	FXR2	+
7531	YWHAE	9721	KIAA0514	+
23265	EXOC7	84816	RTN4IP1	+
9729	KIAA0408	57596	KIAA1446	+
4175	MCM6	151254	ALS2CR11	+
23543	RBM9	84528	PEPP-2	+
7536	SF1	11060	WWP2	+
9146	HGS	149371	EXOC8	+
27232	GNMT	60491	NIF3L1	+
2130	EWSR1	11052	CPSF6	+
362	AQP5	4188	MDFI	+
4678	NASP	8355	HIST1H3G	+
2130	EWSR1	56673	C11orf16	+
8812	CCNK	222546	RFXDC1	+
10241	NDP52	94039	ZNF101	+
4176	MCM7	9939	RBM8A	+
1102	CHC1L	1102	CHC1L	+
56159	TEX11	57642	KIAA1510	+
373	TRIM23	9883	POM121	+
10488	CREB3	10513	APPBP2	+
29979	UBQLN1	55374	PRO1580	+
6297	SALL2	79959	C18orf9	+
4591	TRIM37	26150	RIBC2	+
51562	MBIP	81565	NDEL1	+
5359	PLSCR1	84080	C16orf48	+
8851	CDK5R1	81628	TSC22D4	+
1173	AP2M1	29079	MED4	+
54474	KRT20	84832	MGC12538	+
2810	SFN	10733	PLK4	+
6602	SMARCD1	83878	USHBP1	+
3433	IFIT2	3437	IFIT3	+
55322	FLJ11193	84337	ELOF1	+
1488	CTBP2	10742	RAI2	+
2130	EWSR1	55249	YY1AP1	+
3728	JUP	55093	FLJ10204	+
9802	DAZAP2	51545	ZNF581	+
5129	PCTK3	11007	DIPA	+
79571	GCC1	83878	USHBP1	+
4110	MAGEA11	78990	OTUB2	+
10241	NDP52	25804	LSM4	+
7414	VCL	79173	MGC11271	+
51157	ZNF580	81628	TSC22D4	+
8940	TOP3B	83755	KRTAP4-12	+
57333	RCN3	158471	C9orf65	+
11338	U2AF2	22827	SIAHBP1	+
55885	LMO3	127557	ZBTB8	+
26505	CNNM3	83755	KRTAP4-12	+
3866	KRT15	164127	FLJ35728	+
1615	DARS	7965	JTV1	+
2130	EWSR1	138065	RNF183	+
6303	SAT	81628	TSC22D4	+
7329	UBE2I	9260	PDLIM7	+
4188	MDFI	115817	DHRS1	+
51324	SPG21	56474	CTPS2	+
196383	MGC7036	196383	MGC7036	+
1173	AP2M1	10320	ZNFN1A1	+
22981	KIAA0980	27238	GPKOW	+
1838	DTNB	7186	TRAF2	+
5050	PAFAH1B3	84708	LNX	+
11145	HRASLS3	29979	UBQLN1	+
4591	TRIM37	114822	RHPN1	+
7408	VASP	63948	DMRTB1	+
54507	TSRC1	117144	CATSPER1	+
8985	PLOD3	285596	NY-REN-7	+
153733	MGC39633	374618	TEX9	+
27111	SDCBP2	51538	PS1D	+
4110	MAGEA11	25953	MR-1	+
4833	NME4	9319	TRIP13	+
2762	GMDS	2762	GMDS	+
6687	SPG7	83755	KRTAP4-12	+
51138	COPS4	83878	USHBP1	+
5910	RAP1GDS1	51562	MBIP	+
4188	MDFI	10169	SERF2	+
56159	TEX11	220136	CCDC11	+
2130	EWSR1	4515	MTCP1	+
9470	EIF4E2	56478	EIF4ENIF1	+
4698	NDUFA5	9802	DAZAP2	+
2801	GOLGA2	27229	76P	+
10513	APPBP2	84219	WDR24	+
2130	EWSR1	7288	TULP2	+
11158	RABL2B	84984	MGC14126	+
7431	VIM	54474	KRT20	+
5886	RAD23A	8878	SQSTM1	+
7979	SHFM1	55795	FLJ11305	+
11030	RBPMS	84904	C9orf100	+
9636	G1P2	11274	USP18	+
6449	SGTA	123887	ZG16	+
8204	NRIP1	23641	LDOC1	+
373	TRIM23	23062	GGA2	+
23099	ZNF297B	55885	LMO3	+
11007	DIPA	84445	LZTS2	+
2146	EZH2	11007	DIPA	+
665	BNIP3L	665	BNIP3L	+
26511	CHIC2	83755	KRTAP4-12	+
3866	KRT15	55758	RCOR3	+
6616	SNAP25	8676	STX11	+
9319	TRIP13	57707	KIAA1609	+
26353	HSPB8	27129	HSPB7	+
54974	ICF45	55531	ELMOD1	+
22934	RPIA	55093	FLJ10204	+
3866	KRT15	54474	KRT20	+
5859	QARS	7186	TRAF2	+
55885	LMO3	220766	MGC26143	+
83755	KRTAP4-12	83755	KRTAP4-12	+
55698	FLJ10324	84528	PEPP-2	+
7168	TPM1	79036	MGC2749	+
1856	DVL2	11338	U2AF2	+
10907	TXNL4A	121268	RHEBL1	+
11007	DIPA	64376	ZNFN1A5	+
57326	PBXIP1	151871	DPPA2	+
3603	IL16	83878	USHBP1	+
2130	EWSR1	11030	RBPMS	+
26061	HPCL2	116225	ZMYND19	+
1173	AP2M1	127557	ZBTB8	+
22981	KIAA0980	84445	LZTS2	+
23199	KIAA0182	79873	FLJ22494	+
9802	DAZAP2	26574	AATF	+
4188	MDFI	84527	ZNF559	+
2130	EWSR1	27104	EIF2AK4	+
9513	FXR2	10567	RABAC1	+
2752	GLUL	79666	PLEKHF2	+
83878	USHBP1	89885	FATE1	+
22934	RPIA	22934	RPIA	+
2130	EWSR1	3792	KEL	+
3646	EIF3S6	60313	SP192	+
10489	MUF1	11030	RBPMS	+
6464	SHC1	10241	NDP52	+
3866	KRT15	7251	TSG101	+
51074	MMRP19	79873	FLJ22494	+
23641	LDOC1	54552	GNL3L	+
4110	MAGEA11	81565	NDEL1	+
7186	TRAF2	60496	AASDHPPT	+
3198	HOXA1	26511	CHIC2	+
7135	TNNI1	11007	DIPA	+
3609	ILF3	83755	KRTAP4-12	+
22981	KIAA0980	196441	MGC23401	+
2670	GFAP	7431	VIM	+
25788	RAD54B	51157	ZNF580	+
51361	HOOK1	58500	ZNF250	+
11052	CPSF6	79637	ARMC7	+
2130	EWSR1	51778	MYOZ2	+
55662	HIF1AN	85302	FBF1	+
1602	DACH1	55577	NAGK	+
2810	SFN	4140	MARK3	+
79036	MGC2749	90410	IFT20	+
2130	EWSR1	348487	FLJ36766	+
7572	ZNF24	81576	MGC10471	+
1856	DVL2	92610	TIFA	+
468	ATF4	11219	TREX2	+
55145	THAP1	79169	C1orf35	+
4188	MDFI	113655	LOC113655	+
11007	DIPA	164127	FLJ35728	+
10241	NDP52	11345	GABARAPL2	+
1488	CTBP2	7005	TEAD3	+
5601	MAPK9	7597	ZNF46	+
5990	RFX2	222546	RFXDC1	+
5359	PLSCR1	9140	APG12L	+
4354	MPP1	51421	AMOTL2	+
7329	UBE2I	9726	ZNF646	+
27229	76P	113675	SDSL	+
83640	MGC2560	84528	PEPP-2	+
1152	CKB	140462	ASB9	+
9513	FXR2	127557	ZBTB8	+
54165	RP42	56658	TRIM39	+
26086	GPSM1	83878	USHBP1	+
2203	FBP1	64430	C14orf135	+
10363	HMG20A	55110	FLJ10292	+
5372	PMM1	5870	RAB6A	+
2189	FANCG	9189	ZBED1	+
83755	KRTAP4-12	164592	FLJ36046	+
9456	HOMER1	51225	ABI3	+
7718	ZNF165	55663	FLJ20626	+
22981	KIAA0980	284058	LOC284058	+
5050	PAFAH1B3	5050	PAFAH1B3	+
2130	EWSR1	3159	HMGA1	+
8773	SNAP23	51225	ABI3	+
3190	HNRPK	79171	MGC10433	+
6944	TCFL1	10241	NDP52	+
705	BYSL	4591	TRIM37	+
85359	DGCR6L	283518	KCNRG	+
1848	DUSP6	4188	MDFI	+
10174	SCAM-1	56243	KIAA1217	+
1635	DCTD	79959	C18orf9	+
8812	CCNK	11030	RBPMS	+
7186	TRAF2	80764	THAP7	+
9111	NMI	9146	HGS	+
83755	KRTAP4-12	164127	FLJ35728	+
85302	FBF1	90410	IFT20	+
10179	RBM7	11007	DIPA	+
902	CCNH	5682	PSMA1	+
10534	SSSCA1	80125	FLJ32855	+
11051	CPSF5	79869	FLJ12529	+
8324	FZD7	29979	UBQLN1	+
7314	UBB	9802	DAZAP2	+
27229	76P	79991	OBFC1	+
55565	LOC55565	541468	LOC541468	+
26128	KIAA1279	55264	C21orf77	+
11030	RBPMS	51545	ZNF581	+
4188	MDFI	10922	FASTK	+
8697	CDC23	25788	RAD54B	+
66036	MTMR9	66036	MTMR9	+
4110	MAGEA11	4715	NDUFB9	+
9099	USP2	11007	DIPA	+
4110	MAGEA11	58529	MYOZ1	+
7917	BAT3	59349	KLHL12	+
8637	EIF4EBP3	9470	EIF4E2	+
5886	RAD23A	84993	BMSC-UbP	+
7429	VIL1	56159	TEX11	+
5359	PLSCR1	129807	NEU4	+
60491	NIF3L1	92610	TIFA	+
84708	LNX	127557	ZBTB8	+
59349	KLHL12	84708	LNX	+
4085	MAD2L1	81628	TSC22D4	+
8878	SQSTM1	23710	GABARAPL1	+
65220	FLJ13052	79873	FLJ22494	+
408	ARRB1	27232	GNMT	+
10403	KNTC2	51019	CGI-116	+
25876	C20orf28	79666	PLEKHF2	+
23099	ZNF297B	55388	MCM10	+
9513	FXR2	10606	PAICS	+
6231	RPS26	90121	RP1-112K5.2	+
5682	PSMA1	9111	NMI	+
7186	TRAF2	80125	FLJ32855	+
4841	NONO	8379	MAD1L1	+
11007	DIPA	55209	FLJ10707	+
11007	DIPA	26240	FAM50B	+
23413	FREQ	113878	DTX2	+
11275	KLHL2	59349	KLHL12	+
23283	CSTF2T	29979	UBQLN1	+
3190	HNRPK	10179	RBM7	+
4520	MTF1	8907	AP1M1	+
6455	SH3GL1	63898	SH2D4A	+
81628	TSC22D4	146849	FLJ32734	+
2130	EWSR1	4879	NPPB	+
51364	ZMYND10	81628	TSC22D4	+
56998	CTNNBIP1	79656	FLJ11588	+
79873	FLJ22494	253980	KCTD13	+
2553	GABPB2	55885	LMO3	+
11020	RABL4	51668	C1orf41	+
11091	WDR5	51562	MBIP	+
26039	SS18L1	222546	RFXDC1	+
10087	COL4A3BP	10087	COL4A3BP	+
80125	FLJ32855	83878	USHBP1	+
55145	THAP1	79576	NKAP	+
138046	LOC138046	138046	LOC138046	+
11030	RBPMS	23199	KIAA0182	+
3853	KRT6A	11007	DIPA	+
79088	ZNF426	83755	KRTAP4-12	+
6477	SIAH1	27125	AF5Q31	+
163	AP2B1	27229	76P	+
3216	HOXB6	5359	PLSCR1	+
8697	CDC23	11030	RBPMS	+
27232	GNMT	79873	FLJ22494	+
57596	KIAA1446	147687	ZNF417	+
1295	COL8A1	59349	KLHL12	+
113878	DTX2	222546	RFXDC1	+
2130	EWSR1	9709	HERPUD1	+
22934	RPIA	60491	NIF3L1	+
642	BLMH	84078	KBTBD7	+
9802	DAZAP2	54472	TOLLIP	+
11007	DIPA	94121	SYTL4	+
2130	EWSR1	57126	PRV1	+
5635	PRPSAP1	5635	PRPSAP1	+
4188	MDFI	84775	ZNF607	+
55198	DIP13B	57403	RAB22A	+
9413	C9orf61	9531	BAG3	+
11007	DIPA	64112	MOAP1	+
10567	RABAC1	84067	DKFZP566M1046	+
10197	PSME3	284058	LOC284058	+
51562	MBIP	85359	DGCR6L	+
7186	TRAF2	83707	MGC11134	+
4188	MDFI	80764	THAP7	+
26258	PLDN	26258	PLDN	+
60491	NIF3L1	79734	KCTD17	+
4188	MDFI	5013	OTX1	+
7329	UBE2I	22806	ZNFN1A3	+
7186	TRAF2	23099	ZNF297B	+
3866	KRT15	3880	KRT19	+
4967	OGDH	5359	PLSCR1	+
2010	EMD	10488	CREB3	+
60313	SP192	79666	PLEKHF2	+
1173	AP2M1	10900	RPIP8	+
2130	EWSR1	6160	RPL31	+
3183	HNRPC	3845	KRAS	+
10241	NDP52	26036	ZNF451	+
2203	FBP1	9513	FXR2	+
6890	TAP1	83755	KRTAP4-12	+
51421	AMOTL2	79571	GCC1	+
10534	SSSCA1	79090	MGC2650	+
5359	PLSCR1	51586	PCQAP	+
5080	PAX6	9670	IPO13	+
4591	TRIM37	79027	ZNF655	+
22981	KIAA0980	84516	MGC3248	+
9342	SNAP29	541468	LOC541468	+
84224	AE2	116461	C1orf19	+
5211	PFKL	83755	KRTAP4-12	+
7531	YWHAE	8470	ARGBP2	+
2130	EWSR1	6944	TCFL1	+
86	ACTL6A	2130	EWSR1	+
4188	MDFI	5300	PIN1	+
7186	TRAF2	10253	SPRY2	+
7755	ZNF205	11007	DIPA	+
11277	TREX1	26150	RIBC2	+
84245	MGC3207	84245	MGC3207	+
4841	NONO	79666	PLEKHF2	+
84872	FLJ14451	84872	FLJ14451	+
7186	TRAF2	26060	APPL	+
358	AQP1	30008	EFEMP2	+
22981	KIAA0980	80851	KIAA1720	+
4188	MDFI	10758	C6orf4	+
1911	PHC1	51460	SFMBT1	+
9319	TRIP13	84708	LNX	+
9146	HGS	57409	AD023	+
7186	TRAF2	26003	GORASP2	+
3183	HNRPC	3183	HNRPC	+
4110	MAGEA11	9411	PARG1	+
25788	RAD54B	26003	GORASP2	+
3087	HHEX	83755	KRTAP4-12	+
11345	GABARAPL2	23786	BCL2L13	+
11030	RBPMS	196477	C12orf12	+
55662	HIF1AN	79754	ASB13	+
3609	ILF3	4188	MDFI	+
10733	PLK4	54855	FAM46C	+
3880	KRT19	11067	C10orf10	+
22981	KIAA0980	23270	TSPYL4	+
10241	NDP52	55861	C20orf35	+
3866	KRT15	9099	USP2	+
79571	GCC1	85302	FBF1	+
9404	LPXN	55272	C15orf12	+
7321	UBE2D1	55658	RNF126	+
5601	MAPK9	10262	SF3B4	+
8615	VDP	84970	MGC15882	+
51659	Pfs2	84296	SLD5	+
10241	NDP52	27332	ZNF638	+
3866	KRT15	127703	FLJ38984	+
5359	PLSCR1	51447	IHPK2	+
9260	PDLIM7	84080	C16orf48	+
7431	VIM	9729	KIAA0408	+
26525	IL1F5	170463	SSBP4	+
2130	EWSR1	5886	RAD23A	+
10813	UTP14A	80321	Cep70	+
7186	TRAF2	7189	TRAF6	+
23641	LDOC1	26574	AATF	+
810	CALML3	80726	KIAA1683	+
10127	ZNF263	55663	FLJ20626	+
5914	RARA	6258	RXRG	+
3987	LIMS1	9404	LPXN	+
6495	SIX1	11007	DIPA	+
2810	SFN	55093	FLJ10204	+
7186	TRAF2	11074	TRIM31	+
1856	DVL2	51224	TCEB3B	+
11007	DIPA	60493	FLJ13149	+
9319	TRIP13	11030	RBPMS	+
54976	C20orf27	138046	LOC138046	+
83755	KRTAP4-12	90594	ZNF439	+
80308	PP591	80308	PP591	+
7965	JTV1	55885	LMO3	+
11007	DIPA	55285	FLJ11016	+
5932	RBBP8	283987	C17orf28	+
3603	IL16	10534	SSSCA1	+
389	RHOC	392	ARHGAP1	+
27095	TRAPPC3	51693	HSPC176	+
1488	CTBP2	8715	NOL4	+
23650	TRIM29	84445	LZTS2	+
5682	PSMA1	25788	RAD54B	+
11007	DIPA	90060	JM11	+
2001	ELF5	51548	SIRT6	+
84680	PHACS	85302	FBF1	+
1857	DVL3	59349	KLHL12	+
9513	FXR2	51451	LCMT1	+
10656	KHDRBS3	79873	FLJ22494	+
26150	RIBC2	56159	TEX11	+
27332	ZNF638	83755	KRTAP4-12	+
3611	ILK	55742	PARVA	+
9729	KIAA0408	29911	HOOK2	+
84705	GTPBP3	84705	GTPBP3	+
993	CDC25A	8260	ARD1	+
22827	SIAHBP1	118426	LOH12CR1	+
4110	MAGEA11	4291	MLF1	+
4110	MAGEA11	27042	MGC29875	+
8812	CCNK	79959	C18orf9	+
10241	NDP52	80028	FBXL18	+
11007	DIPA	11067	C10orf10	+
4698	NDUFA5	4707	NDUFB1	+
11267	EAP30	84313	MGC10540	+
22978	NT5C2	29922	NME7	+
6208	RPS14	6880	TAF9	+
23641	LDOC1	58500	ZNF250	+
10539	TXNL2	83755	KRTAP4-12	+
2130	EWSR1	4110	MAGEA11	+
7004	TEAD4	25937	WWTR1	+
11007	DIPA	55122	C6orf166	+
10602	CDC42EP3	10602	CDC42EP3	+
10313	RTN3	84067	DKFZP566M1046	+
2896	GRN	348487	FLJ36766	+
27111	SDCBP2	222389	C10orf30	+
84708	LNX	92610	TIFA	+
1838	DTNB	11007	DIPA	+
9883	POM121	55165	C10orf3	+
23641	LDOC1	64376	ZNFN1A5	+
9319	TRIP13	113878	DTX2	+
10010	TANK	80149	MCPIP	+
27301	APEX2	29911	HOOK2	+
5359	PLSCR1	80028	FBXL18	+
8985	PLOD3	10919	BAT8	+
9140	APG12L	83755	KRTAP4-12	+
11060	WWP2	85362	C20orf158	+
6303	SAT	51204	LOC51204	+
2495	FTH1	9513	FXR2	+
9055	PRC1	54474	KRT20	+
27111	SDCBP2	151871	DPPA2	+
327	APEH	79876	UBE1DC1	+
163	AP2B1	26119	LDLRAP1	+
3728	JUP	26150	RIBC2	+
8440	NCK2	10152	ABI2	+
10313	RTN3	57142	RTN4	+
10152	ABI2	54474	KRT20	+
9802	DAZAP2	130617	LOC130617	+
51619	UBE2D4	56658	TRIM39	+
55722	Cep72	84708	LNX	+
9775	DDX48	51244	C3orf19	+
3872	KRT17	11007	DIPA	+
55145	THAP1	55145	THAP1	+
2130	EWSR1	10428	CFDP1	+
56952	PRTFDC1	196483	SB153	+
7170	TPM3	79036	MGC2749	+
3866	KRT15	51225	ABI3	+
29911	HOOK2	58500	ZNF250	+
6449	SGTA	30008	EFEMP2	+
4188	MDFI	55093	FLJ10204	+
10318	TNIP1	286514	MGC33889	+
2130	EWSR1	63948	DMRTB1	+
1295	COL8A1	83755	KRTAP4-12	+
7186	TRAF2	26150	RIBC2	+
862	RUNX1T1	220766	MGC26143	+
10922	FASTK	11030	RBPMS	+
10567	RABAC1	84708	LNX	+
121536	AEBP2	138046	LOC138046	+
7538	ZFP36	11007	DIPA	+
3205	HOXA9	11030	RBPMS	+
5866	RAB3IL1	117177	RAB3IP	+
11007	DIPA	55109	AGGF1	+
6252	RTN1	79666	PLEKHF2	+
27229	76P	58490	C20orf77	+
10197	PSME3	79873	FLJ22494	+
26258	PLDN	149371	EXOC8	+
1525	CXADR	2130	EWSR1	+
1780	DNCI1	140735	Dlc2	+
29082	CHMP4A	51760	LOC51760	+
4005	LMO2	22924	MAPRE3	+
3987	LIMS1	10919	BAT8	+
4830	NME1	9533	POLR1C	+
151871	DPPA2	151871	DPPA2	+
1488	CTBP2	64400	FTS	+
55906	KIAA1166	79036	MGC2749	+
3880	KRT19	149371	EXOC8	+
127703	FLJ38984	220766	MGC26143	+
8667	EIF3S3	51225	ABI3	+
51324	SPG21	66036	MTMR9	+
7205	TRIP6	117144	CATSPER1	+
23641	LDOC1	54906	C10orf18	+
55663	FLJ20626	85359	DGCR6L	+
54550	EFCBP2	56159	TEX11	+
9319	TRIP13	57088	PLSCR4	+
2810	SFN	8534	CHST1	+
1857	DVL3	11143	MYST2	+
1725	DHPS	56648	EIF5A2	+
55388	MCM10	127557	ZBTB8	+
8991	SELENBP1	9319	TRIP13	+
2954	GSTZ1	2954	GSTZ1	+
5359	PLSCR1	55707	NECAP2	+
3726	JUNB	22981	KIAA0980	+
2130	EWSR1	7718	ZNF165	+
55145	THAP1	79797	ZNF408	+
25900	HOM-TES-103	138065	RNF183	+
5092	PCBD1	84708	LNX	+
4735	2-Sep	23157	6-Sep	+
29979	UBQLN1	29979	UBQLN1	+
2130	EWSR1	23635	SSBP2	+
5071	PARK2	9319	TRIP13	+
2130	EWSR1	25941	C18orf10	+
4188	MDFI	286075	LOC286075	+
2130	EWSR1	326624	RAB37	+
3183	HNRPC	138046	LOC138046	+
6696	SPP1	56259	CTNNBL1	+
9802	DAZAP2	23578	PEFLIN	+
10733	PLK4	23281	KIAA0774	+
54550	EFCBP2	85865	LOC85865	+
55011	FLJ20643	81628	TSC22D4	+
7205	TRIP6	8440	NCK2	+
23468	CBX5	78994	MGC3121	+
1406	CRX	130951	LOC130951	+
51684	SUFU	57333	RCN3	+
23578	PEFLIN	59349	KLHL12	+
8204	NRIP1	56159	TEX11	+
22981	KIAA0980	79088	ZNF426	+
9146	HGS	23641	LDOC1	+
5585	PKN1	11007	DIPA	+
9513	FXR2	283518	KCNRG	+
5359	PLSCR1	11067	C10orf10	+
30008	EFEMP2	84894	LRRN6A	+
29922	NME7	84260	MGC10854	+
83755	KRTAP4-12	147687	ZNF417	+
6271	S100A1	6271	S100A1	+
5359	PLSCR1	83640	MGC2560	+
11052	CPSF6	59349	KLHL12	+
7408	VASP	8996	NOL3	+
3251	HPRT1	55093	FLJ10204	+
4175	MCM6	5682	PSMA1	+
7755	ZNF205	10241	NDP52	+
1725	DHPS	6133	RPL9	+
26061	HPCL2	26061	HPCL2	+
4188	MDFI	90594	ZNF439	+
10174	SCAM-1	63948	DMRTB1	+
3853	KRT6A	3866	KRT15	+
11007	DIPA	55388	MCM10	+
463	ATBF1	22981	KIAA0980	+
11338	U2AF2	541468	LOC541468	+
55233	MOBK1B	79036	MGC2749	+
6297	SALL2	83637	DKFZp761I2123	+
1316	KLF6	10919	BAT8	+
1856	DVL2	414301	DDI1	+
5359	PLSCR1	57088	PLSCR4	+
5359	PLSCR1	54973	RC68	+
2275	FHL3	7965	JTV1	+
5108	PCM1	51019	CGI-116	+
7597	ZNF46	79036	MGC2749	+
5307	PITX1	11030	RBPMS	+
54474	KRT20	79882	FLJ11806	+
3219	HOXB9	4188	MDFI	+
4110	MAGEA11	7704	ZBTB16	+
1071	CETP	2130	EWSR1	+
11075	STMN2	56159	TEX11	+
9802	DAZAP2	79050	MGC3162	+
7257	TSNAX	57326	PBXIP1	+
7186	TRAF2	9787	DLG7	+
2275	FHL3	222546	RFXDC1	+
4832	NME3	6449	SGTA	+
583	BBS2	10197	PSME3	+
10169	SERF2	10197	PSME3	+
1398	CRK	5359	PLSCR1	+
84528	PEPP-2	129807	NEU4	+
9513	FXR2	10241	NDP52	+
7704	ZBTB16	51534	C6orf55	+
4591	TRIM37	9787	DLG7	+
2130	EWSR1	4723	NDUFV1	+
4110	MAGEA11	10935	PRDX3	+
60	ACTB	71	ACTG1	+
1173	AP2M1	27156	RTDR1	+
1856	DVL2	10921	RNPS1	+
81	ACTN4	51778	MYOZ2	+
9470	EIF4E2	54474	KRT20	+
3983	ABLIM1	23641	LDOC1	+
6303	SAT	23549	DNPEP	+
9694	KIAA0103	51016	C14orf122	+
55885	LMO3	79036	MGC2749	+
4188	MDFI	54461	FBXW5	+
10513	APPBP2	170261	ZCCHC12	+
1856	DVL2	79869	FLJ12529	+
4188	MDFI	5990	RFX2	+
10087	COL4A3BP	10313	RTN3	+
54474	KRT20	79696	C14orf140	+
7572	ZNF24	55663	FLJ20626	+
10534	SSSCA1	10534	SSSCA1	+
1912	PHC2	1912	PHC2	+
4110	MAGEA11	84767	TRIM51	+
4830	NME1	26003	GORASP2	+
2275	FHL3	57144	PAK7	+
8861	LDB1	55885	LMO3	+
9802	DAZAP2	23543	RBM9	+
5747	PTK2	9140	APG12L	+
11007	DIPA	164592	FLJ36046	+
10539	TXNL2	30008	EFEMP2	+
4188	MDFI	90060	JM11	+
